Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:32:36

Name:	Steel Tensile Test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
6.7713	12.6402	Inf	Inf
6.8706	12.5949	Inf	Inf
6.9713	12.5308	Inf	Inf
6.9790	12.4259	Inf	Inf
6.9874	12.2887	Inf	Inf
6.9935	12.1872	Inf	Inf
6.9965	12.2846	Inf	Inf
7.0446	12.4787	Inf	Inf
7.0973	12.6537	Inf	Inf
7.1973	12.5705	Inf	Inf
7.2973	12.5919	Inf	Inf
7.3660	12.4873	Inf	Inf
7.3751	12.3348	Inf	Inf
7.3820	12.2325	Inf	Inf
7.3889	12.3352	Inf	Inf
7.4079	12.4817	Inf	Inf
7.4820	12.6230	Inf	Inf
7.5820	12.5600	Inf	Inf
7.6820	12.5338	Inf	Inf
7.7240	12.4292	Inf	Inf
7.7301	12.3138	Inf	Inf
7.7339	12.2130	Inf	Inf
7.7354	12.3153	Inf	Inf
7.7888	12.6889	Inf	Inf
7.8896	12.6320	Inf	Inf
7.9896	12.5506	Inf	Inf
8.0827	12.4480	Inf	Inf
8.0903	12.3472	Inf	Inf
8.1041	12.3404	Inf	Inf
8.1842	12.6675	Inf	Inf
8.2842	12.5866	Inf	Inf
8.3835	12.5765	Inf	Inf
8.4247	12.4712	Inf	Inf
8.4354	12.3689	Inf	Inf
8.4399	12.2666	Inf	Inf
8.4415	12.3592	Inf	Inf
8.4606	12.6068	Inf	Inf
8.5605	12.6541	Inf	Inf
8.6605	12.6053	Inf	Inf
8.7613	12.5799	Inf	Inf
8.7789	12.4735	Inf	Inf
8.7819	12.3715	Inf	Inf
8.7888	12.2696	Inf	Inf
8.8033	12.3652	Inf	Inf
8.8063	12.4682	Inf	Inf
8.8918	12.6735	Inf	Inf
8.9918	12.6143	Inf	Inf
9.0918	12.5690	Inf	Inf
9.1666	12.4630	Inf	Inf
9.1735	12.3614	Inf	Inf
9.1842	12.2588	Inf	Inf
9.1926	12.3659	Inf	Inf
9.2200	12.6106	Inf	Inf
9.3208	12.4727	Inf	Inf
9.3506	12.5716	Inf	Inf
9.4498	12.5169	Inf	Inf
9.5071	12.4124	Inf	Inf
9.5093	12.2378	Inf	Inf
9.5154	12.3408	Inf	Inf
9.5635	12.5446	Inf	Inf
9.6643	12.5491	Inf	Inf
9.7643	12.4959	Inf	Inf
9.8269	12.3899	Inf	Inf
9.8322	12.2827	Inf	Inf
9.8383	12.1812	Inf	Inf
9.8444	12.2760	Inf	Inf
9.8795	12.5053	Inf	Inf
9.9795	12.5757	Inf	Inf
10.0627	12.4750	Inf	Inf
10.1574	12.3704	Inf	Inf
10.1589	12.2670	Inf	Inf
10.1650	12.1583	Inf	Inf
10.1818	12.2554	Inf	Inf
10.1933	12.3944	Inf	Inf
10.2780	12.5248	Inf	Inf
10.3772	12.4529	Inf	Inf
10.4559	12.3509	Inf	Inf
10.5253	12.2475	Inf	Inf
10.5360	12.1269	Inf	Inf
10.5490	12.2269	Inf	Inf
10.6398	12.4188	Inf	Inf
10.6902	12.3108	Inf	Inf
10.7902	12.3667	Inf	Inf
10.8902	12.2666	Inf	Inf
10.9375	12.1606	Inf	Inf
10.9413	11.9043	Inf	Inf
10.9451	12.0058	Inf	Inf
10.9505	12.0043	Inf	Inf
10.9978	12.1666	Inf	Inf
11.0978	12.2048	Inf	Inf
11.1986	12.1104	Inf	Inf
11.2985	12.0265	Inf	Inf
11.3306	11.9223	Inf	Inf
11.3421	11.7679	Inf	Inf
11.3459	11.6671	Inf	Inf
11.3466	11.7657	Inf	Inf
11.4184	11.9830	Inf	Inf
11.5184	11.8953	Inf	Inf
11.6146	11.7934	Inf	Inf
11.6535	11.6919	Inf	Inf
11.6787	11.5869	Inf	Inf
11.6825	11.4712	Inf	Inf
11.6985	11.5727	Inf	Inf
11.7703	11.6787	Inf	Inf
11.8283	11.5757	Inf	Inf
11.8985	11.4727	Inf	Inf
11.9848	11.3704	Inf	Inf
12.0412	11.2673	Inf	Inf
12.0512	11.0399	Inf	Inf
12.0519	11.1624	Inf	Inf
12.0596	10.9380	Inf	Inf
12.0611	11.0343	Inf	Inf
12.1619	11.2418	Inf	Inf
12.2244	11.1373	Inf	Inf
12.2718	11.0346	Inf	Inf
12.3130	10.9279	Inf	Inf
12.3748	10.7960	Inf	Inf
12.4290	10.6944	Inf	Inf
12.4550	10.4063	Inf	Inf
12.4657	10.5078	Inf	Inf
12.4702	10.5026	Inf	Inf
12.5702	10.4943	Inf	Inf
12.6061	10.3917	Inf	Inf
12.6641	10.2883	Inf	Inf
12.7091	10.1702	Inf	Inf
12.7435	10.0679	Inf	Inf
12.7847	9.9668	Inf	Inf
12.8328	9.8540	Inf	Inf
12.8504	9.6614	Inf	Inf
12.8664	9.7592	Inf	Inf
12.9465	9.6562	Inf	Inf
12.9962	9.5482	Inf	Inf
